TrackerID,FirmwareVersion,VehicleID
TRK-1112,v1.2.4,V-1112
TRK-1113,v1.0.0,V-1113
TRK-1114,v2.0.1,V-1114
TRK-1115,v2.0.1,V-1115
TRK-1116,v1.2.4,V-1116
TRK-1117,v1.2.4,V-1117
TRK-1118,v2.0.1,V-1118
TRK-1119,v2.0.1,V-1119
TRK-1120,v1.0.0,V-1120
TRK-1121,v1.2.4,V-1121
TRK-1122,v1.2.4,V-1122
TRK-1123,v2.0.1,V-1123
TRK-1124,v1.0.0,V-1124
TRK-1125,v1.2.4,V-1125
TRK-1126,v2.0.1,V-1126
TRK-1127,v2.0.1,V-1127
TRK-1128,v2.0.1,V-1128
TRK-1129,v2.0.1,V-1129
TRK-1130,v1.2.4,V-1130
TRK-1131,v1.0.0,V-1131
TRK-1132,v1.0.0,V-1132
TRK-1133,v1.0.0,V-1133
TRK-1134,v2.0.1,V-1134
TRK-1135,v1.2.4,V-1135
TRK-1136,v2.0.1,V-1136
TRK-1137,v2.0.1,V-1137
TRK-1138,v2.0.1,V-1138
TRK-1139,v1.2.4,V-1139
TRK-1140,v2.0.1,V-1140
TRK-1141,v1.0.0,V-1141
TRK-1142,v1.2.4,V-1142
TRK-1143,v2.0.1,V-1143
TRK-1144,v1.2.4,V-1144
TRK-1145,v1.0.0,V-1145
TRK-1146,v2.0.1,V-1146
TRK-1147,v2.0.1,V-1147
TRK-1148,v1.0.0,V-1148
TRK-1149,v1.0.0,V-1149
